name,lat,lon,count,insta_names
감성농부,33.2867007796222,126.329043863006,33,"['감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부', '감성농부']"
감성돈,33.3934453716382,126.239947967621,2,['협재해수욕장흑돼지']
감성밥집 바다의집,33.462113543084605,126.91003949542916,1,['하도리밥집']
감성커피동홍점,33.2527990611083,126.567879998668,2,['서귀포감성카페']
감초식당,33.503268463994,126.527801847914,2,"['감초순대국밥', '감초식당']"
갓쭈,33.48715358717681,126.49271733646546,1,['갓쭈']
갓포아키 제주도점,33.4848644705676,126.488555952406,1,['갓포아키']
갓포제호,33.488195305199554,126.53679298903576,17,"['갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포', '갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포제호', '갓포제호']"
강남스타일,33.4153627015006,126.261855429653,2,['강남술집']
강남아로마스킨케어,33.5000310730367,126.52362136132,1,['강남피부관리']
강남역 2호선,37.49808633653005,127.02800140627488,17,"['강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역', '강남역']"
강릉역,37.7645235587621,128.899627553491,32,"['Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung', 'Gangneung']"
강식당,33.39845758984032,126.24398025776524,2,['강식당']
강원수산,33.277199731670294,126.71158558839235,1,['강원']
강정다이브센터,33.22754430046945,126.47804339423791,3,['강정다이브센터']
강정천,33.2326659143234,126.489428214698,80,"['강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천', '강정천']"
강정포구,33.2271155064362,126.475561352176,16,"['강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구', '강정포구']"
강정포구횟집,33.2287936873761,126.475834559348,17,"['강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집', '강정포구횟집']"
강정해녀의집,33.229302627033334,126.47593451410346,27,"['강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집', '강정해녀의집']"
강태공고물상,33.51033092108454,126.57127425706382,1,['강태공']
같이살자지구카페,33.471317423257766,126.78441854469573,31,"['같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페', '같이살자지구카페']"
개구리펜션,33.2444836026969,126.306683535226,1,['개구리']
개똥이네농장,33.4951352176308,126.623360040549,2,['개똥이네']
객사길,35.8199463002994,127.144426867146,16,"['객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길', '객리단길']"
갤러리2중선농원,33.4780657173803,126.570027071483,1,['갤러리2중선농원']
갤러리아백화점 WEST점,37.52842774945761,127.04014394421372,16,"['갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West', '갤러리아백화점 West']"
갤러리화이트앤트 인 제주,33.4760931594966,126.480818323619,1,['white']
갯깍주상절리,33.2414349760991,126.397874733375,1,['갯깍주상절리']
